time,data values
2023-09-11T15:53:48.056Z,127
2023-09-11T15:53:49.055Z,122
2023-09-11T15:53:50.055Z,121
2023-09-11T15:53:51.056Z,120
2023-09-11T15:53:52.056Z,120
2023-09-11T15:53:53.056Z,120
2023-09-11T15:53:54.056Z,121
2023-09-11T15:53:55.056Z,122
2023-09-11T15:53:56.055Z,123
2023-09-11T15:53:57.055Z,125
2023-09-11T15:53:58.055Z,130
2023-09-11T15:53:59.056Z,131
2023-09-11T15:54:00.056Z,131
2023-09-11T15:54:01.056Z,130
2023-09-11T15:54:02.056Z,130
2023-09-11T15:54:03.057Z,128
2023-09-11T15:54:04.056Z,126
2023-09-11T15:54:05.056Z,124
2023-09-11T15:54:06.056Z,124
2023-09-11T15:54:07.056Z,124
2023-09-11T15:54:08.055Z,125
2023-09-11T15:54:09.056Z,125
2023-09-11T15:54:10.056Z,126
2023-09-11T15:54:11.056Z,126
2023-09-11T15:54:12.056Z,126
2023-09-11T15:54:13.056Z,127
2023-09-11T15:54:14.057Z,127
2023-09-11T15:54:15.056Z,128
2023-09-11T15:54:16.057Z,130
2023-09-11T15:54:17.057Z,130
2023-09-11T15:54:18.056Z,130
2023-09-11T15:54:19.056Z,130
2023-09-11T15:54:20.056Z,128
2023-09-11T15:54:21.056Z,126
2023-09-11T15:54:22.056Z,124
2023-09-11T15:54:23.056Z,124
2023-09-11T15:54:24.057Z,124
2023-09-11T15:54:25.056Z,124
2023-09-11T15:54:26.056Z,124
2023-09-11T15:54:27.057Z,124
2023-09-11T15:54:28.057Z,124
2023-09-11T15:54:29.056Z,123
2023-09-11T15:54:30.056Z,122
2023-09-11T15:54:31.057Z,119
2023-09-11T15:54:32.057Z,118
2023-09-11T15:54:33.057Z,118
2023-09-11T15:54:34.056Z,119
2023-09-11T15:54:35.057Z,121
2023-09-11T15:54:36.057Z,122
2023-09-11T15:54:37.057Z,123
2023-09-11T15:54:38.056Z,123
2023-09-11T15:54:39.056Z,123
2023-09-11T15:54:40.056Z,122
2023-09-11T15:54:41.056Z,118
2023-09-11T15:54:42.057Z,115
2023-09-11T15:54:43.057Z,115
2023-09-11T15:54:44.057Z,115
2023-09-11T15:54:45.057Z,115
2023-09-11T15:54:46.057Z,121
2023-09-11T15:54:47.057Z,127
2023-09-11T15:54:48.057Z,128
2023-09-11T15:54:49.056Z,128
2023-09-11T15:54:50.057Z,128
2023-09-11T15:54:51.056Z,128
2023-09-11T15:54:52.057Z,128
2023-09-11T15:54:53.057Z,129
2023-09-11T15:54:54.057Z,129
2023-09-11T15:54:55.057Z,130
2023-09-11T15:54:56.057Z,130
2023-09-11T15:54:57.057Z,130
2023-09-11T15:54:58.057Z,129
2023-09-11T15:54:59.057Z,128
2023-09-11T15:55:00.057Z,127
2023-09-11T15:55:01.057Z,126
2023-09-11T15:55:02.057Z,117
2023-09-11T15:55:03.057Z,115
2023-09-11T15:55:04.057Z,113
2023-09-11T15:55:05.058Z,112
2023-09-11T15:55:06.057Z,112
2023-09-11T15:55:07.057Z,114
2023-09-11T15:55:08.057Z,115
2023-09-11T15:55:09.057Z,117
2023-09-11T15:55:10.057Z,119
2023-09-11T15:55:11.057Z,119
2023-09-11T15:55:12.057Z,119
2023-09-11T15:55:13.057Z,119
2023-09-11T15:55:14.057Z,118
2023-09-11T15:55:15.057Z,114
2023-09-11T15:55:16.057Z,112
2023-09-11T15:55:17.057Z,111
2023-09-11T15:55:18.057Z,111
2023-09-11T15:55:19.058Z,112
2023-09-11T15:55:20.057Z,114
